Course Name,Multi Categories,Course URL,Course Provider,Short Description,Long Description,Difficulty,Duration,Commitment,Number of Enrolled,Cost,Alternative Options,Language,Video Language,Prerequisites,
A Hands-on Introduction to Engineering Simulations,Engineering,https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations,,Learn how to analyze real-world engineering problems using Ansys simulation software and gain important professional skills sought by employers.,"In this hands-on course, you'll learn how to perform engineering simulations using a powerful tool from Ansys, Inc. This is a problem-based course where you'll learn by doing. The focus will be on understanding what's under the blackbox so as to move beyond garbage-in, garbage-out. You'll practice using a common solution approach to problems involving different physics: structural mechanics, fluid dynamics and heat transfer.
We'll solve textbook examples to understand the fundamental principles of finite-element analysis and computational fluid dynamics. Then we'll apply these principles to simulate real-world examples in the tool including a bolted rocket assembly and a wind turbine rotor.We'll discuss current industry practices with a SpaceX engineer. By working through examples in a leading simulation tool that professionals use, you'll learn to move beyond button pushing and start thinking like an expert.
This course teaches fundamental concepts and tool use in an integrated fashion using the power of online learning. All learners will have access to a free download of Ansys Student.
Join us to discover why simulations have changed how engineering is done and how you can be a part of this revolution.",Intermediate,6 weeks,4–6 hours per week,"2,61,364",Free,"₹ 16,273",English,English," 
High school physics including Newton's second law
Differential and integral calculus
Basic matrix algebra
",
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",Math,https://www.edx.org/course/a-level-mathematics-for-year-12-course-1-algebraic,Imperial College London,"Develop your thinking skills, fluency and confidence to aim for an A* in A-levelmaths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams. 
You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include: 

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A 
-level course. You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",Intermediate,7 weeks,2–4 hours per week,"52,190",Free,"₹ 4,007",English,English, None,
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",Math,https://www.edx.org/course/a-level-mathematics-for-year-12-course-2-calculus,,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level mathematics and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level mathematics exams.You’ll also be encouraged to consider how what you know fits into the wider mathematical world. 
Over seven modules, covering an introduction to calculus, Newton’s laws and statistical hypothesis testing your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course. 
You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include: 

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, data handling, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied",Intermediate,7 weeks,2–4 hours per week,"11,270",Free,"₹ 4,007",English,English, None,
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",Math,https://www.edx.org/course/a-level-mathematics-for-year-13-course-1-functions,,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.
The course is most appropriate to the Edexcel, AQA, OCR and OCR(MEI) papers. You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study.These skills include: 

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, covering an introduction to functions and their notation, sequences and series and numerical methods testing your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A-level course. 
You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",Intermediate,7 weeks,2–4 hours per week,"11,920",Free,"₹ 4,007",English,English, None,
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",Math,https://www.edx.org/course/a-level-mathematics-for-year-13-course-2,Imperial College London,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.
You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, covering general motion in a straight line and two dimensions, projectile motion, a model for friction, moments, equilibrium of rigid bodies, vectors, differentiation methods, integration methods and differential equations, your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course.
You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",Intermediate,7 weeks,2–4 hours per week,"6,488",Free,$49 USD,English,English, None,
A Resilient Future: Science and Technology for Disaster Risk Reduction,Engineering,https://www.edx.org/course/a-resilient-future-science-and-technology-for-disa,,Discover how science and technology help us reduce disaster risk and increase resilience.,"This course aims to introduce participants to existing and emerging technologies suitable for disaster risk reduction while promoting the overall aim of sustainable development. The course focuses on three main natural hazards- floods, landslides and earthquakes. It also discusses the challenges and limits of adapting and adopting technologies depending on context (Global North and Global South) with examples from Switzerland, Nepal, Colombia, Philippines and other countries.
Image: “Earthquake in Nepal” by Asian Development Bank (www.adb.org) is licensed under BY-NC-ND 2.0 (permission granted 18 January 2016)",Advanced,7 weeks,2–4 hours per week,"7,926",Free,"₹ 16,273",English,," 
University degree or equivalent.
Background in engineering, environmental sciences, architecture, geography, anthropology, international relations or any curriculum sharing a global perspective. This list is not exhaustive. We encourage people of all disciplines and backgrounds to join. 
Motivation, persistence, and interest in learning about disaster risk reduction.
Notions of statistics and calculus may help participants to better understand some concepts and equations used in somevideos; however, these equations are not key to the success in the course.
",
A System View of Communications: From Signals to Packets (Part 2),Engineering,https://www.edx.org/course/a-system-view-of-communications-from-signals-to-2,,"Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? This introductory course seeks to enable you to understand the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",Introductory,6 weeks,4–6 hours per week,"13,025",Free,"₹ 4,089",English,English, None,
A System View of Communications: From Signals to Packets (Part 3),Engineering,https://www.edx.org/course/a-system-view-of-communications-from-signals-to-3,,"Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? Gain an understanding of the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",Introductory,5 weeks,4–6 hours per week,"11,342",Free,"₹ 4,089",English,English, None,
A System View of Communications: From Signals to Packets (Part 1),"Computer Science, Engineering",https://www.edx.org/course/a-system-view-of-communications-from-signals-to-pa,,"Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? This introductory course seeks to enable you to understand the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",Introductory,7 weeks,4–6 hours per week,"35,345",Free,"₹ 4,907",English,English, None,
AC and Switching Circuits,Engineering,https://www.edx.org/course/ac-and-switching-circuits,,"In this course, you will learn all about circuits with alternating current (AC). The course shows how to design and analyse AC circuits, and concepts like phasors and power factor are explained. We also cover transformers, fuses, relays, and the use of transistors as switches. The course is the second in our series on electronics and a working knowledge of DC circuits is assumed.","Alternating current (AC) is the type of electricity commonly used throughout the world to connect power plants, homes, and businesses. This course will give you an understanding of why AC is used and will allow you to design and analyse circuits which use AC electricity.
You will learn how to calculate voltages, currents and power in circuits with AC sources, how to calculate RMS voltage and current, how to handle both sinusoidal and non-sinusoidal sources, how to use relays and transistors as switches, how to design circuits with transformers, how to model realistic, non-ideal transformers, how to design and build simple DC power supplies and rectifiers, and we will explore concepts of maximum power transfer with AC circuits. In terms of sequencing, this course would be suitable for students who already have a working knowledge of basic DC circuits (such as our other MOOC Circuits for Beginners).",Intermediate,6 weeks,2–3 hours per week,,Free,"₹ 11,367",English,English, A working knowledge of DC circuits. Completion of our course Circuits for Beginners is recommended.,
Academic English,Language,https://www.edx.org/course/academic-english,The University of Queensland,A practical and introductory course to build your skills in academic writing.,"ACE101x is a practical, completely online introductory course for those at university or planning to attend university. This course focuses on the processes involved in planning for, producing and self-reviewing a piece of academic writing. Particular attention is given to argumentative research essays, which are the most common form of academic writing required of students at university level.
This course examines the overall structure of an argumentative essay, considering a general framework that can be used for any topic. Practical advice is provided about how to brainstorm, locate information online and evaluate the quality of potential sources of information. 
Learners will also be guided on how to use appropriate stance and voice in academic writing, how to ensure that the language and tone that is used is suitable to the context, and how to acknowledge the work of others through correct use of academic referencing. The final section of this course considers the process of revising and editing a written assessment piece, as well as recognizing a range of genres commonly used across the university. Practical tips and suggestions are provided to help with identifying features such as consistency, structure, paragraphing and formatting, as well as highlighting errors commonly made by students when writing.",Introductory,10 weeks,2–3 hours per week,"43,537",Free,"₹ 8,096",English,English, None.,
Academic Writing Made Easy,Language,https://www.edx.org/course/academic-writing-made-easy-2,,Struggling with writing an academic text? This MOOC will ease the pain – and make your writing shine.,"This MOOC takes you through the basics of academic writing step by step. From structuring and organising an academic text to avoiding common pitfalls that can negatively affect your credibility, this 6-week course offers a guide for those who want to improve their writing. It looks at various components that will make your academic writing stand out for all the right reasons, including paragraphing, style, tone, paraphrasing and punctuation. Using samples of student writing it also gives you tips on what to avoid and explains why. Each week is comprised of video lessons, followed by exercises and peer-review tasks, taking you through various aspects of academic writing. 
The course requires upper-intermediate (B2) to advanced English (C1).",Intermediate,8 weeks,2–3 hours per week,,Free,"₹ 4,007",English,English, Upper-intermediate to advanced knowledge of English.,
Accessible Gamification,Computer Science,https://www.edx.org/course/accessible-gamification,The Georgia Institute of Technology,,"See your favorite games like never before!  
Ever wondered why farming for a mighty sword in a fantasy game feels entertaining and fun while filling out reporting documents – a seemingly similar repetitive activity – is incredibly boring? If so, you are not alone!  
The vast field of Gamification applies techniques and patterns from fundamental mechanics of game design to non-game contexts in order to make business tasks more fun for a user. This can lead to increased efficiency and accuracy and even facilitate better health by reducing exhaustion.  
However, there is one particular requirement that often becomes a hurdle for Gamification efforts: meeting accessibility requirements.  
In this computer science course, we will investigate this use case closer and derive a new set of patterns that are representation-agnostic. You will learn the fundamentals of Gamification and accessibility, as well as lessons in game development and game design. We will take a look at popular digital games and draw patterns from their game design and game mechanics.  
By the end of this course, you will have gained a better grasp on the problem at hand and learn patterns and techniques to deploy gamification in a broader and more abstract scope.  
But be warned: you might see your favorite digital games like you never saw them before – as a wired, but well-tailored, combination of reward, development, discover and challenge.",Introductory,5 weeks,2–3 hours per week,,Free,"₹ 4,007",English,English," Some software development and web development experience.
Bonus: Having played some games will help a lot.",
