Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Azure Active Directory: Basics,https://www.linkedin.com/learning/azure-active-directory-basics?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-twgxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Azure Active Directory,"Get up and running with Azure Active Directory, a cloud-based identity and access management service for on-premises, cloud, and hybrid environments.","Get up and running with Azure Active Directory, a cloud-based identity and access management service for on-premises, cloud, and hybrid environments.",0,0,0,5311,4.6,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/32a820a97b03.jpeg
React for Web Designers,https://www.linkedin.com/learning/react-for-web-designers-2?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-t1UxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"Web Design,React.js","Learn how to incorporate React in real-world web designs. Discover how to manage real-time data, interact with external APIs, and more.","Learn how to incorporate React in real-world web designs. Discover how to manage real-time data, interact with external APIs, and more.",1,0,0,2344,4.6,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/7fa5ba77bd42.jpeg
Programming Foundations: Web Security,https://www.linkedin.com/learning/programming-foundations-web-security-2?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-t14xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Web Application Security,"Learn about the most important security concerns when developing websites, and what you can do to keep your servers, software, and data safe from harm.","Learn about the most important security concerns when developing websites, and what you can do to keep your servers, software, and data safe from harm.",0,0,0,2277,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ec16171c0d7e.jpeg
Learning SQL Programming,https://www.linkedin.com/learning/learning-sql-programming-8382385?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-t3cxxCz2Y0&mcid=6851962469594763264&irgwc=1,SQL,"Learn the basics of SQL, the programming language for retrieving and editing data from databases such as SQL Server, MySQL, MariaDB, and PostgreSQL.","Learn the basics of SQL, the programming language for retrieving and editing data from databases such as SQL Server, MySQL, MariaDB, and PostgreSQL.",0,0,0,17160,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a1e777509c94.jpeg
Information Management: Document Security,https://www.linkedin.com/learning/information-management-document-security?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tyoxxCz2Y0&mcid=6851962469594763264&irgwc=1,Information Management,Learn how to structure an enterprise content management solution that ensures that documents are both collaborative and safe.,Learn how to structure an enterprise content management solution that ensures that documents are both collaborative and safe.,1,0,0,341,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fb50dbc3f624.jpeg
Using Docker and .NET Core,https://www.linkedin.com/learning/using-docker-and-dot-net-core?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tUExxCz2Y0&mcid=6851962469594763264&irgwc=1,"Docker Products,.NET Core",This course introduces Docker and how to use it to package and distribute your applications.,This course introduces Docker and how to use it to package and distribute your applications.,1,0,0,3224,4.6,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/05e2122cd253.jpeg
Learning Python,https://www.linkedin.com/learning/learning-python-14393370?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tRQxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Python (Programming Language),"Get started with Python, the popular and highly readable object-oriented language.","Get started with Python, the popular and highly readable object-oriented language.",0,0,0,30622,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/3165b8f5ec8a.jpeg
Succeeding in DevOps,https://www.linkedin.com/learning/succeeding-in-devops?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tW0xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"DevOps,Career Management",Want to pivot to a career in DevOps? Learn what it takes to become a DevOps engineer—and how to excel once you've landed the job.,Want to pivot to a career in DevOps? Learn what it takes to become a DevOps engineer—and how to excel once you've landed the job.,0,0,0,9286,4.6,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/323bddd6f998.jpeg
Data Science Foundations: Fundamentals (2019),https://www.linkedin.com/learning/data-science-foundations-fundamentals-2019?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tT0xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Data Science,"Get a basic introduction to the careers, tools, and techniques of modern data science.","Get a basic introduction to the careers, tools, and techniques of modern data science.",0,0,0,10068,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ac7ca2ec17b2.jpeg
SQL Essential Training,https://www.linkedin.com/learning/sql-essential-training-20685933?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tTYxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,SQL,"Learn how to use SQL to manage your database. Explore beginner-level tutorials on creating tables, defining relationships, and manipulating strings with SQL and SQLiteStudio.","Learn how to use SQL to manage your database. Explore beginner-level tutorials on creating tables, defining relationships, and manipulating strings with SQL and SQLiteStudio.",0,0,0,608,4.9,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bc5613b0e683.jpeg
HTML Essential Training,https://www.linkedin.com/learning/html-essential-training-4?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tQMxxCz2Y0&mcid=6851962469594763264&irgwc=1,HTML,"Learn how to write HTML, the programming language that powers the web.","Learn how to write HTML, the programming language that powers the web.",0,0,0,26765,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/831a5988c2c3.jpeg
Learning Cloud Computing: Core Concepts,https://www.linkedin.com/learning/learning-cloud-computing-core-concepts-13966302?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tVAxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Cloud Computing,"Migrating to the cloud? Get a general overview of cloud computing, including cloud security, operations, and services such as AWS, Google Cloud Platform, and Office 365.","Migrating to the cloud? Get a general overview of cloud computing, including cloud security, operations, and services such as AWS, Google Cloud Platform, and Office 365.",0,0,0,5835,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/179abbb67e3e.jpeg
Data Fluency: Exploring and Describing Data,https://www.linkedin.com/learning/data-fluency-exploring-and-describing-data-15815339?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tXkxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Data Science,"Learn how anyone, in any industry, can speak the language of data analysis. Find out how to prepare data, explore it visually, and describe it using statistical methods.","Learn how anyone, in any industry, can speak the language of data analysis. Find out how to prepare data, explore it visually, and describe it using statistical methods.",0,0,0,660,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/4b0f9b463fea.jpeg
SQL Essential Training,https://www.linkedin.com/learning/sql-essential-training-20685933?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tSwxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,SQL,"Learn how to use SQL to manage your database. Explore beginner-level tutorials on creating tables, defining relationships, and manipulating strings with SQL and SQLiteStudio.","Learn how to use SQL to manage your database. Explore beginner-level tutorials on creating tables, defining relationships, and manipulating strings with SQL and SQLiteStudio.",0,0,0,608,4.9,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b85b6407a359.jpeg
Data Visualization: Storytelling,https://www.linkedin.com/learning/data-visualization-storytelling?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tS8xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Storytelling,Learn the keys to telling a story with data from data visualization expert Bill Shander.,Learn the keys to telling a story with data from data visualization expert Bill Shander.,1,0,0,4630,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/921cba39e268.jpeg
JavaScript: Classes,https://www.linkedin.com/learning/javascript-classes-19958382?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-v0IxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,JavaScript,Learn how classes work in ECMAScript 6 (ES6). Discover how classes can make object-oriented development with JavaScript more familiar.,Learn how classes work in ECMAScript 6 (ES6). Discover how classes can make object-oriented development with JavaScript more familiar.,1,0,0,48,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/80281c00848a.jpeg
Learning PowerShell,https://www.linkedin.com/learning/learning-powershell?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vxsxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Powershell,"Learn how IT admins use PowerShell in their day-to-day work. Find out how to use cmdlets, work with functions, and use PowerShell in on-premises and cloud-based environments.","Learn how IT admins use PowerShell in their day-to-day work. Find out how to use cmdlets, work with functions, and use PowerShell in on-premises and cloud-based environments.",0,0,0,6444,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/6d9e3e4fb43b.jpeg
Machine Learning and AI Foundations: Decision Trees with SPSS,https://www.linkedin.com/learning/machine-learning-and-ai-foundations-decision-trees-with-spss?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-v2gxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"Machine Learning,Decision Trees",Establish a strong foundation in ML by exploring the IBM SPSS Modeler and learning about CHAID and C&RT. This course is designed to help expand your data science skills.,Establish a strong foundation in ML by exploring the IBM SPSS Modeler and learning about CHAID and C&RT. This course is designed to help expand your data science skills.,1,0,0,3105,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a831299f6625.jpeg
C# Essential Training: 1 Syntax and Object Oriented Programming,https://www.linkedin.com/learning/c-sharp-essential-training-1-types-and-control-flow?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vzUxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"C#,Control Flow","Learn C# basics, including variables, strings, operations, classes, and methods, as well as the object-oriented features of this versatile programming language.","Learn C# basics, including variables, strings, operations, classes, and methods, as well as the object-oriented features of this versatile programming language.",0,0,0,408,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/3045c4bd8ed8.jpeg
Networking Foundations: Networking Basics,https://www.linkedin.com/learning/networking-foundations-networking-basics?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vz4xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Network Administration,"Get an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.","Get an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.",0,0,0,6384,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/94b56d7c0a19.jpeg
Networking Foundations: Networking Basics,https://www.linkedin.com/learning/networking-foundations-networking-basics?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vwYxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Network Administration,"Get an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.","Get an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies.",0,0,0,6384,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/4743543a7321.jpeg
Learning SQL Programming,https://www.linkedin.com/learning/learning-sql-programming-8382385?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-v1MxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,SQL,"Learn the basics of SQL, the programming language for retrieving and editing data from databases such as SQL Server, MySQL, MariaDB, and PostgreSQL.","Learn the basics of SQL, the programming language for retrieving and editing data from databases such as SQL Server, MySQL, MariaDB, and PostgreSQL.",0,0,0,17160,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e59a98299404.jpeg
Cloud Architecture: Advanced Concepts (2019),https://www.linkedin.com/learning/cloud-architecture-advanced-concepts-14595141?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-v3oxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Cloud-Native Architecture,"Learn how microservices, serverless architecture, high-performance computing, and other advanced concepts may impact your cloud architecture.","Learn how microservices, serverless architecture, high-performance computing, and other advanced concepts may impact your cloud architecture.",2,0,0,663,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/803b06cb29d1.jpeg
Learning Git and GitHub,https://www.linkedin.com/learning/learning-git-and-github-14213624?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vyExxCz2Y0&mcid=6851962469594763264&irgwc=1,"GitHub,Git","Learn to work with the most common Git commands, and use GitHub to clone, explore, and create templates from existing projects.","Learn to work with the most common Git commands, and use GitHub to clone, explore, and create templates from existing projects.",0,0,0,4427,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bd1720bf47d5.jpeg
JavaScript Essential Training,https://www.linkedin.com/learning/javascript-essential-training?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vUkxxCz2Y0&mcid=6851962469594763264&irgwc=1,JavaScript,"Get hands-on experience scripting in JavaScript. Learn how to work with objects, variables, data types, conditionals, functions, loops, the DOM, and more.","Get hands-on experience scripting in JavaScript. Learn how to work with objects, variables, data types, conditionals, functions, loops, the DOM, and more.",0,0,0,14737,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/57b6bc8a71f6.jpeg
Node.js: Microservices,https://www.linkedin.com/learning/node-js-microservices?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vRUxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"Node.js,Microservices",Gain a deeper understanding of how microservices are built and used. Learn how to use Node.js to build out a microservices architecture from scratch.,Gain a deeper understanding of how microservices are built and used. Learn how to use Node.js to build out a microservices architecture from scratch.,1,0,0,4310,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/2f432ff9cb7d.jpeg
React.js Essential Training,https://www.linkedin.com/learning/react-js-essential-training-14836121?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vR4xxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,React.js,"React is a great choice for dynamic, data-driven user experiences. Learn how to create browser-based apps and websites with the component-based React.js library.","React is a great choice for dynamic, data-driven user experiences. Learn how to create browser-based apps and websites with the component-based React.js library.",1,0,0,2751,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0b3081136412.jpeg
Learning Data Analytics: 1 Foundations,https://www.linkedin.com/learning/learning-data-analytics-1-foundations?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vWcxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Data Analytics,"This course covers foundational data analysis skills such as thinking like an analyst, gathering useful data, SQL queries, data cleaning, and more. Are you ready to be an analyst?","This course covers foundational data analysis skills such as thinking like an analyst, gathering useful data, SQL queries, data cleaning, and more. Are you ready to be an analyst?",0,0,0,12068,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9f4fab66e701.jpeg
Kubernetes: Microservices,https://www.linkedin.com/learning/kubernetes-microservices?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vToxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,"Microservices,Kubernetes",Get started with microservices. Learn how to break monolithic applications down into nimble microservices and deploy them in a container-centric Kubernetes environment.,Get started with microservices. Learn how to break monolithic applications down into nimble microservices and deploy them in a container-centric Kubernetes environment.,2,0,0,1866,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0992fcf20d48.jpeg
Learning Java,https://www.linkedin.com/learning/learning-java-11?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-vQExxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,Java,Get started in Java programming. This course shows beginners how to write Java code and build simple Java applications.,Get started in Java programming. This course shows beginners how to write Java code and build simple Java applications.,0,0,0,18585,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b6779c4ac3bb.jpeg
