Course Name,Course URL,Course short desc,Course long desc,Duration,Number of Enrolled,Cost,rating
Python Masters Program,https://www.edureka.co/python-developer-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1062&objPos=16,"Includes 5 Live courses: Python, Machine Learning, NLP, Spark and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
<p class=""MsoBodyText"" style=""text-align: justify;""><span calibri"",sans-serif;="""" lang=""EN-IN"" minor-latin""="""" mso-ascii-theme-font:minor-latin;mso-hansi-theme-font:minor-latin;mso-bidi-theme-font:="""" style=""font-family:"">Edureka’s Python Developer Masters program will help you become an expert in Python and opens a career opportunity in various domains such as Machine Learning, Data Science, Big Data, Web Development.</span></p><p class=""MsoBodyText"" style=""text-align: justify;""><span calibri"",sans-serif;="""" lang=""EN-IN"" minor-latin""="""" mso-ascii-theme-font:minor-latin;mso-hansi-theme-font:minor-latin;mso-bidi-theme-font:="""" style=""font-family:"">Python is a premier, flexible, and powerful open-source language
that is easy to learn, easy to use, and has powerful libraries for data
manipulation and analysis. For over a decade, Python has been used in
scientific computing and highly quantitative domains such as Finance, Oil and
Gas, Physics, and Signal Processing. Today, it is the most preferred language
for Artificial Intelligence (AI), Robotics, Web Development, and Big Data.</span></p> </div>", 111 Hrs ,,,
Cyber Security Masters Program,https://www.edureka.co/cybersecurity-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1591&objPos=17,"Includes 5 courses: Linux, Cybersecurity, CompTIA Security+ and more.","Edureka’s Cyber Security Masters program is designed to meet the industry benchmarks and will help you master foundational skills that are needed to pursue a career in IT security. This masters in cyber security courses focuses on core cybersecurity skills which are indispensable for cybersecurity professionals. Throughout the program, you will learn important concepts such as risk management, risk mitigation, threat management, ethical hacking, cryptography, computer networks & security, application security, and various security practices for businesses along with hands-on demonstrations.", 56 Hrs ,,,
Designing Microsoft Azure Architect Certification Course,https://www.edureka.co/microsoft-certified-azure-solution-architect-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1751&objPos=18,"Architect Cloud Solutions using Azure resources: Compute, Network & more",, 36 Hrs ,15660 Learners,,5
Certified Scrum Master® (CSM) Certification Training,https://www.edureka.co/certified-scrum-master-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=883&objPos=1,"Includes Scrum Concepts: Agile, Sprint, Product and Release Planning & more",, 15 Hrs ,,,
Big Data Architect Masters Program,https://www.edureka.co/big-data-architect-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=585&objPos=2,"Includes 5 Live courses: Hadoop, Spark, Cassandra, Talend, Kafka, and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Big Data Architect Masters Program makes you proficient in tools and systems used by Big Data experts. This Big Data Masters Course  includes training on Hadoop and Spark stack, Cassandra, Talend and Apache Kafka messaging system. The curriculum of our Big Data Online Courses has been determined by extensive research on 5000+ job descriptions across the globe. Edureka's comprehensive Big Data training course is designed by Industry top experts with real time project experience.                </div>", 150 Hrs ,,,
Google Cloud Platform (GCP) Certification Training Course,https://www.edureka.co/google-cloud-architect-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1326&objPos=3,"Includes: GCP Compute, Storage, DevOps & Automation +8 more",, 36 Hrs ,15016 Learners,Free,5
Microsoft SQL Server Certification Course,https://www.edureka.co/microsoft-sql-server-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=2153&objPos=4,"Includes RDBMS, DDL, DML, Advanced SQL, User Administration & many more",, 30 Hrs ,543 Learners,Free,5
Machine Learning Course Masters Program,https://www.edureka.co/machine-learning-engineer-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=781&objPos=5,"Includes 5 Live courses: Python, ML Algorithms, Tensorflow 2.0, and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Edureka’s Masters in Machine Learning Program makes you proficient in techniques like Supervised Learning, Unsupervised Learning and Natural Language Processing. Our Machine learning course includes training on the latest advancements and technical approaches in Artificial Intelligence &amp; Machine Learning such as Deep Learning, Graphical Models and Reinforcement Learning.                </div>", 126 Hrs ,,,
Microsoft Azure DevOps Certification Training Course (AZ-400),https://www.edureka.co/microsoft-azure-devops-solutions-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1308&objPos=6,"Includes Azure DevOps Services, CI/CD pipeline &7 more",, 30 Hrs ,3371 Learners,Free,5
RPA using UiPath Certification Training,https://www.edureka.co/robotic-process-automation-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1362&objPos=7,"Set up UiPath CE, Orchestrator, Automate Excel and Web Activities, & more",, 24 Hrs ,31634 Learners,Free,5
PySpark Certification Training Course,https://www.edureka.co/pyspark-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=651&objPos=8,"Includes Python, Spark RDD, Spark SQL, Spark MLlib & Kafka +3 more",, 36 Hrs ,8370 Learners,Free,5
Microsoft Azure Administrator Certification Training: AZ-104,https://www.edureka.co/microsoft-azure-administrator-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1202&objPos=9,"Includes Azure Virtual Machines, Storage, Monitoring & Azure AD +5 more",, 33 Hrs ,,,
CompTIA Security+ Certification Training - SY0-601 Exam,https://www.edureka.co/comptia-security-plus-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=1217&objPos=10,"Includes Network Security, Wireless Security, IdAM, Risk Management & more",, 32 Hrs ,5615 Learners,,5
Informatica Certification Training Course,https://www.edureka.co/informatica-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=442&objPos=11,"Includes: Data Integration, Transformations, Tasks, Workflows & more",, 42 Hrs ,19693 Learners,Free,5
Spring Framework Certification Course,https://www.edureka.co/spring-certification-course?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=62&objPos=13,"Develop web applications by mastering Spring web, security and more",, 24 Hrs ,10251 Learners,Free,5
Linux Administration Certification Training Course,https://www.edureka.co/linux-admin?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=64&objPos=14,"Includes: Linux system basics, security and network management & more.",, 42 Hrs ,,,
Apache Kafka Certification Training Course,https://www.edureka.co/kafka-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=510&objPos=15,Create real-time data pipelines using Kafka and its APIs,, 30 Hrs ,7514 Learners,Free,5
AWS Developer Certification Training,https://www.edureka.co/aws-developer-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=164&objPos=16,Develop SaaS applications in AWS using high availability and more,, 36 Hrs ,11457 Learners,Free,4
Salesforce Platform Developer 1 Certification Training,https://www.edureka.co/salesforce-platform-developer-1-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=803&objPos=17,"Includes APEX Programming, SOQL/SOSL Query, Deployment Strategy, and more",, 36 Hrs ,,,
Big Data Hadoop Certification Training Course,https://www.edureka.co/big-data-hadoop-training-certification?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=888&objPos=18,"Includes: Big Data & Hadoop Ecosystem tools - HDFS, MapReduce, Hive & More",, 30 Hrs ,,,
ITIL® 4 Foundation Certification Training Course,https://www.edureka.co/itil4-foundation-certification-training?qId=561af44fc0473cd3a94c1a8f546b976a&index_name=prod_search_results_courses&objId=891&objPos=12,Includes Key Aspects of Service Management and many more,, 12 Hrs ,,,
Digital Marketing Course ,https://www.edureka.co/digital-marketing?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1282&objPos=1,"Includes: SEO, Google Analytics, Social Media Marketing & More",, 30 Hrs ,10588 Learners,,5
AWS DevOps Engineer Certification Training Course,https://www.edureka.co/aws-certified-devops-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=782&objPos=2,"Automate Infrastructure using CloudFormation, OpsWorks, Beanstalk & more",, 24 Hrs ,7549 Learners,Free,5
Microsoft Azure Developer Associate Certification: AZ-204,https://www.edureka.co/microsoft-azure-developer-associate-certification-training-course?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1136&objPos=3,Develop Azure Cloud based Solutions and prepare for the Exam AZ-204,, 36 Hrs ,,,
Apache Spark and Scala Certification Training Course,https://www.edureka.co/apache-spark-scala-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=889&objPos=4,"Includes Scala, Spark RDD, Spark SQL, Spark MLlib & Kafka +5 more",, 36 Hrs ,28992 Learners,Free,5
Advanced Certificate Program in Data Science,https://www.edureka.co/advanced-program-data-science-course-iitg?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=2047&objPos=5,"Includes Python, Machine Learning, Deep Learning, Tableau, and more",, 150 Hrs ,,,
RPA Developer Masters Program,https://www.edureka.co/rpa-developer-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1067&objPos=6,"Includes 2 live courses: UiPath, Automation Anywhere and more.",Edureka's RPA Developer Masters program will prepare you for the UiPath's RPA Developer Advanced Certification Exam and for the Automation Anywhere Certified Advanced RPA Professional Certification Exam. You will also be able to drive RPA initiatives in your organization by learning the key concepts to design RPA solutions using UiPath Community Edition and Automation Anywhere Enterprise Edition., 54 Hrs ,,,
Android Certification Training Course,https://www.edureka.co/android-development-certification-course?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=318&objPos=7,Master android platform and develop mobile applications for various domains,, 30 Hrs ,,,
MSBI Certification Training Course,https://www.edureka.co/microsoft-bi-certification?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=594&objPos=8,"Includes: SSIS, SSAS, SSRS,Cube Design, Deployment, MDX, DAX and More",, 30 Hrs ,14001 Learners,Free,5
Splunk Certification Training: Power User and Admin,https://www.edureka.co/splunk-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=512&objPos=9,Learn to manage and configure Splunk cluster to monitor and analyze data.,, 24 Hrs ,,,
Manual Testing Certification Training Course Online,https://www.edureka.co/software-testing?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=106&objPos=11,Learn and perform black box tests on your application to minimise risks,, 30 Hrs ,7485 Learners,,5
Python Machine Learning Certification Training,https://www.edureka.co/machine-learning-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=542&objPos=12,"Includes Supervised, Unsupervised, Reinforcement learning & more",, 36 Hrs ,13572 Learners,,5
Web Developer Certification Training Course,https://www.edureka.co/complete-web-developer?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=161&objPos=13,"Build impressive websites using HTML5, CSS3, Google APIs and many more",, 30 Hrs ,10395 Learners,Free,5
Professional Scrum Master (PSM) Certification Training,https://www.edureka.co/professional-scrum-master-psm-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=892&objPos=15,"Includes concepts of Agile, Scrum Framework, Executing Scrum in teams",, 14 Hrs ,,,
Performance Testing Using JMeter,https://www.edureka.co/jmeter-training-performance-testing?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=811&objPos=16,Perform functional and load tests on your applications using Jmeter,, 15 Hrs ,,,
PRINCE2® 6th Edition Foundation & Practitioner Certification Training Course,https://www.edureka.co/prince2-foundation-and-practitioner-certification-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1149&objPos=17,"Manage projects through elements, principles & processes of PRINCE2®",, 32 Hrs ,,,
Docker Certification Training Course,https://www.edureka.co/docker-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=1068&objPos=18,"Includes Docker Containers, Docker Compose, Docker Swarm + 5 more",, 24 Hrs ,7058 Learners,Free,5
SQL Essentials Training,https://www.edureka.co/sql-essentials-training?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=528&objPos=10,"Learn to DDL, DML, DCL, TCL, Advanced database projects & many more",, 18 Hrs ,,,
PMI® Agile Certified Practitioner Training,https://www.edureka.co/pmi-acp?qId=aea9f2a592e31fb6536f6aad0f05de12&index_name=prod_search_results_courses&objId=685&objPos=14,"Self-paced course includes Agile, Adaptive Planning, PMI-ACP Tips & more",, 30 Hrs ,,,
Node.js Certification Training Course,https://www.edureka.co/nodejs-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1905&objPos=1,"Develop applications using Express Framework, MongoDB, Rest APIs + 4 more",, 30 Hrs ,8584 Learners,Free,5
Blockchain Developer Certification Course,https://www.edureka.co/blockchain-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=879&objPos=2,"Includes Bitcoin, Ethereum, Hyperledger, MultiChain. + 3 more",, 36 Hrs ,,,
CSPO® Certification Training Course,https://www.edureka.co/cspo-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=893&objPos=4,"Includes Product Management concepts: Scrum, Estimation, Release & more",, 15 Hrs ,,,
Migrating Applications to AWS Training,https://www.edureka.co/migrating-to-aws?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=620&objPos=5,"Plan & Migrate On-premise infrastructure using AWS DMS, SMS & many more",, 18 Hrs ,5850 Learners,Free,5
MongoDB Certification Training Course,https://www.edureka.co/mongodb-certification-training?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=515&objPos=6,"Includes MongoDB Architecture, Schema Design, Administration & many more",, 30 Hrs ,16380 Learners,,4
Advanced Executive Certificate in Supply Chain Strategy and Operations Management,https://www.edureka.co/advanced-program-in-operations-supply-chain-project-management-iitg?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=1861&objPos=7,"Includes Operations, Supply chain management, Project management and more.",, 2 Hrs ,,,
Big Data Hadoop Administration Certification Training,https://www.edureka.co/hadoop-administration-training-certification?qId=5d1cddb4791cfa0bdf6c6aefed8b0f02&index_name=prod_search_results_courses&objId=631&objPos=8,"Includes Hadoop Cluster Setup & Administration, Cloudera Hadoop & many more",, 21 Hrs ,,,
