title,url,categories,description_short,description_long,difficulty,duration,free_option,number_of_enroll,rating,paid_option,language,subtitle,platform,provider,image_url
A Resilient Future: Science and Technology for Disaster Risk Reduction,https://www.edx.org/course/a-resilient-future-science-and-technology-for-disa,"Engineering, Science",Discover how science and technology help us reduce disaster risk and increase resilience.,"This course aims to introduce participants to existing and emerging technologies suitable for disaster risk reduction while promoting the overall aim of sustainable development. The course focuses on three main natural hazards- floods, landslides and earthquakes. It also discusses the challenges and limits of adapting and adopting technologies depending on context (Global North and Global South) with examples from Switzerland, Nepal, Colombia, Philippines and other countries.
Image: “Earthquake in Nepal” by Asian Development Bank (www.adb.org) is licensed under BY-NC-ND 2.0 (permission granted 18 January 2016)",2,1,1,7644,0.0,$199,English,English,Edx,École polytechnique fédérale de Lausanne,https://prod-discovery.edx-cdn.org/media/course/image/3a44e842-db02-4afa-a5bd-bff2569d315d-9a0457285e40.small.jpg
A Subjective Introduction to the IoT,https://www.edx.org/course/a-subjective-introduction-to-the-iot,"Communication, Computer Science, Electronics","If you have no idea what is IoT and how to start your adventure with IoT, programming and networking, keep studying. This course is a painless introduction to the IoT technology.","This course covers an overview of selected IoT technologies, tools and methods. Firstly you'll find out what is IoT then we will guide you through the popular IoT hardware, including Arduino and Espressif ESP8266 and ESP32 System on Chips, sensors and actuators, finally through the introduction to the networking. Right enough for now to let you understand IoT idea, start programming and embrace IoT technology. Even configure your devices to talk to your home network and send data over MQTT to the cloud. 
In details we discuss deeply the genesis of the IoT, enabling technologies that made IoT devices to hit over 20 billion of the devices to be interconnected by 2020. We also make a short review of the popular scenarios that extensively utilise IoT approach and devices. Once you get an IoT overview, it is time to step into the technical details. In the following part of the course, we will introduce you to the Arduino microcontrollers, Espressif ESP8266 and ESP32 as well as a number of popular sensors and actuators. Following section is on microcontrollers programming in popular Arduino IDE. Finally, we will introduce you to the IoT networking. In this course we use regular IP network with elementary MQTT application protocol presentation. 
Course contains example codes in C++, usually ""Hello World"" style, including networking, communication with sensors and actuators and even short programming in C++ crash course.",0,1,1,0,0.0,$149,English,English,Edx,ITMO University,https://prod-discovery.edx-cdn.org/media/course/image/300f1756-c033-4b47-9b6e-5a2e143bf56d-deb972363d53.small.jpg
A System View of Communications: From Signals to Packets (Part 2),https://www.edx.org/course/a-system-view-of-communications-from-signals-to-2,"Computer Science, Electronics, Engineering","Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? This introductory course seeks to enable you to understand the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",0,1,1,12854,0.0,$50,English,English,Edx,The Hong Kong University of Science and Technology,https://prod-discovery.edx-cdn.org/media/course/image/caea2810-3db2-4d5f-be7d-22a9d91a4900-3981580ef47d.small.jpg
A System View of Communications: From Signals to Packets (Part 3),https://www.edx.org/course/a-system-view-of-communications-from-signals-to-3,"Computer Science, Electronics, Engineering","Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? Gain an understanding of the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",0,1,1,11186,0.0,$50,English,English,Edx,The Hong Kong University of Science and Technology,https://prod-discovery.edx-cdn.org/media/course/image/eae8c83b-6d58-4537-a254-b3718f7d0ff7-a9c0b369c924.small.jpg
A System View of Communications: From Signals to Packets (Part 1),https://www.edx.org/course/a-system-view-of-communications-from-signals-to-pa,"Computer Science, Electronics, Engineering","Explore the tradeoffs in designing communication systems like mobile phones, and the engineering tools to handle them.","Have you ever wondered how information is transmitted using your mobile phone or a WiFi hotspot? This introductory course seeks to enable you to understand the basic engineering tools used and tradeoffs encountered in the design of these communication systems.
This course is divided into three parts. In Part 1, we examine the point-to-point link, which communicates information from a single transmitter to a single receiver. Part 2 examines how multiple transmitters can share the same physical channel. Part 3 discusses how information can be transmitted reliably from one station to another over a network that connects multiple stations. Online interactive exercises are included to help build your intuition.
This course was inspired by and built upon the course 6.02 Digital Communication Systems developed at MIT, which Prof Bertram Shi worked on during his sabbatical in 2009.",0,1,1,34836,0.0,$60,English,English,Edx,The Hong Kong University of Science and Technology,https://prod-discovery.edx-cdn.org/media/course/image/f2694a55-7704-4dd5-9799-2a1557efa0c3-9e0cbea45bff.small.jpg
Academic English,https://www.edx.org/course/academic-english,"Communication, Language",A practical and introductory course to build your skills in academic writing.,"ACE101x is a practical, completely online introductory course for those at university or planning to attend university. This course focuses on the processes involved in planning for, producing and self-reviewing a piece of academic writing. Particular attention is given to argumentative research essays, which are the most common form of academic writing required of students at university level.
This course examines the overall structure of an argumentative essay, considering a general framework that can be used for any topic. Practical advice is provided about how to brainstorm, locate information online and evaluate the quality of potential sources of information. 
Learners will also be guided on how to use appropriate stance and voice in academic writing, how to ensure that the language and tone that is used is suitable to the context, and how to acknowledge the work of others through correct use of academic referencing. The final section of this course considers the process of revising and editing a written assessment piece, as well as recognizing a range of genres commonly used across the university. Practical tips and suggestions are provided to help with identifying features such as consistency, structure, paragraphing and formatting, as well as highlighting errors commonly made by students when writing.",0,1,1,5756,0.0,$99,English,English,Edx,The University of Queensland,https://prod-discovery.edx-cdn.org/media/course/image/94460a36-8f6c-4e50-82cd-47aab6996952-258273a5d881.small.jpeg
Academic Writing Made Easy,https://www.edx.org/course/academic-writing-made-easy-2,Language,Struggling with writing an academic text? This MOOC will ease the pain – and make your writing shine.,"This MOOC takes you through the basics of academic writing step by step. From structuring and organising an academic text to avoiding common pitfalls that can negatively affect your credibility, this 6-week course offers a guide for those who want to improve their writing. It looks at various components that will make your academic writing stand out for all the right reasons, including paragraphing, style, tone, paraphrasing and punctuation. Using samples of student writing it also gives you tips on what to avoid and explains why. Each week is comprised of video lessons, followed by exercises and peer-review tasks, taking you through various aspects of academic writing. 
The course requires upper-intermediate (B2) to advanced English (C1).",1,1,1,0,0.0,$49,English,English,Edx,Technische Universität München,https://prod-discovery.edx-cdn.org/media/course/image/ee757321-8abb-4bb6-ae9f-c7fd2df67977-a2fa3364c849.small.jpg
Accessible Gamification,https://www.edx.org/course/accessible-gamification,"Computer Science, Design","Learn how accessibility plays into gamification fundamentals, creating efficiency in business for everyone.","See your favorite games like never before!  
Ever wondered why farming for a mighty sword in a fantasy game feels entertaining and fun while filling out reporting documents – a seemingly similar repetitive activity – is incredibly boring? If so, you are not alone!  
The vast field of Gamification applies techniques and patterns from fundamental mechanics of game design to non-game contexts in order to make business tasks more fun for a user. This can lead to increased efficiency and accuracy and even facilitate better health by reducing exhaustion.  
However, there is one particular requirement that often becomes a hurdle for Gamification efforts: meeting accessibility requirements.  
In this computer science course, we will investigate this use case closer and derive a new set of patterns that are representation-agnostic. You will learn the fundamentals of Gamification and accessibility, as well as lessons in game development and game design. We will take a look at popular digital games and draw patterns from their game design and game mechanics.  
By the end of this course, you will have gained a better grasp on the problem at hand and learn patterns and techniques to deploy gamification in a broader and more abstract scope.  
But be warned: you might see your favorite digital games like you never saw them before – as a wired, but well-tailored, combination of reward, development, discover and challenge.",0,1,1,0,0.0,$49,English,English,Edx,The Georgia Institute of Technology,https://prod-discovery.edx-cdn.org/media/course/image/bb7079e3-c0b5-4fd1-926a-06af590536e3-3092f998992e.small.jpg
Advanced Algorithmics and Graph Theory with Python,https://www.edx.org/course/advanced-algorithmics-and-graph-theory-with-python,Computer Science,"Strengthen your skills in algorithmics and graph theory, and gain experience in programming in Python along the way.","Algorithmics and programming are fundamental skills for engineering students, data scientists and analysts, computer hobbyists or developers.  
Learning how to program algorithms can be tedious if you aren’t given an opportunity to immediately practice what you learn. In this course, you won't justfocus on theoryor study a simple catalog of methods, procedures, and concepts. Instead, you’ll be given a challenge wherein you'll be asked to beat an algorithm we’ve written for you by coming up with your own clever solution.   
To be specific, you’ll have to work out a route faster than your opponent through a maze while picking up objects.   
Each week, you will learn new material to improve your artificial intelligence in order to beat your opponent. This structure means that as a learner, you’ll confront each abstract notion with a real-world problem.   
We’ll go over data-structures, basic and advanced algorithms for graph theory, complexity/accuracy trade-offs, and even combinatorial game theory.  
This coursehas received financial support from the Patrick and Lina Drahi Foundation.",1,1,1,0,0.0,$49,English,English,Edx,IMT,https://prod-discovery.edx-cdn.org/media/course/image/4cad72ef-0a40-4eee-bd1b-e3d1834e26eb-531b6c8deb39.small.png
Advanced Bioconductor,https://www.edx.org/course/advanced-bioconductor,"Biology & Life Sciences, Data Analysis & Statistics, Science","Learn advanced approaches to genomic visualization, reproducible analysis, data architecture, and exploration of cloud-scale consortium-generated genomic data.","In this course, we begin with approaches to visualization of genome-scale data, and provide tools to build interactive graphical interfaces to speed discovery and interpretation. Using knitr and rmarkdown as basic authoring tools, the concept of reproducible research is developed, and the concept of an executable document is presented. In this framework reports are linked tightly to the underlying data and code, enhancing reproducibility and extensibility of completed analyses. We study out-of-memory approaches to the analysis of very large data resources, using relational databases or HDF5 as ""back ends"" with familiar R interfaces. Multiomic data integration is illustrated using a curated version of The Cancer Genome Atlas. Finally, we explore cloud-resident resources developed for the Encyclopedia of DNA Elements (the ENCODE project). These address transcription factor binding, ATAC-seq, and RNA-seq with CRISPR interference.
Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.
These courses make up two Professional Certificates and are self-paced:
Data Analysis for Life Sciences:

PH525.1x: Statistics and R for the Life Sciences
PH525.2x: Introduction to Linear Models and Matrix Algebra
PH525.3x: Statistical Inference and Modeling for High-throughput Experiments
PH525.4x: High-Dimensional Data Analysis

Genomics Data Analysis:

PH525.5x: Introduction to Bioconductor
PH525.6x: Case Studies in Functional Genomics
PH525.7x: Advanced Bioconductor

This class was supported in part by NIH grant R25GM114818.
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.",2,1,1,28068,0.0,$149,English,English,Edx,Harvard University,https://prod-discovery.edx-cdn.org/media/course/image/544d56f8-57cb-4a1b-bc90-21e2ce0ea233-bb85a0f891f9.small.jpg
Advanced Database Administration,https://www.edx.org/course/advanced-database-administration,Computer Science,"Learn the fundamentals of administering relational database management systems, including managing concurrency and creating objects in the database","This is the 3rd course in the introductory, undergraduate-level offering that makes up the larger Introduction to Databases MicroBachelors Program. We recommend taking them in order, unless you have a background in these areas already and feel comfortable skipping ahead.

Introduction to Databases
Advanced Database Queries
Advanced Database Administration

These topics build upon the learnings that are taught in the introductory-level Computer Science Fundamentals MicroBachelors program, offered by the same instructor.
This course is a continuation of the basic concepts, organization, and implementation models taught in the Introduction to Databases and Advanced Database Queries courses. Among the topics covered are the development of objects in the database such as databases, tables, indexes, views, stored procedures and functions. Data Definition Language (DDL) is a subset of SQL that is used by database administrators to create and maintain these objects in the database. Students gain a thorough understanding of the DDL syntax and the use cases for each object type. Database development and administration skills are required in most Information Technology, Software Engineering, Cybersecurity, and Computer Science jobs. The course utilizes the open-source relational database MySQL. MySQL and it's open-source fork MariaDB are used in millions of web apps to persist the application data and provide query processing. Applied labs expand on the lectures to provide students with hands-on experience with a relational database management system (DBMS) and structured query language (SQL).
If you successfully complete all the courses within the program, with a passing grade of 70% or better via the verified (paid) track, you’ll not only receive a certificate highlighting your achievement, but also have the option to collect real college credit (included in the price!) that you can count towards a pursuit of a bachelor’s degree.
Industry Certification Preparation
This program covers much of the material that is assessed on the MySQL8.0 Database Developer Oracle Certified Professional exam. The exam is not included in the cost of the program.
Coaching
If you are enrolled in the verified track (paid track) in any course that is a part of a MicroBachelors program, including this course, you are eligible for coaching at no additional cost. Please note that coaching is only available via SMS to U.S. phone lines.
Our coaches (real humans) are ready to help you with career exploration, navigating resources, staying motivated, and solving problems along the way to your goals.
Learn more about the value of coaching directly from one of our coaches, Erin.",1,1,1,0,0.0,$166,English,English,Edx,New York University,https://prod-discovery.edx-cdn.org/media/course/image/7b3b11c8-c7b7-47a3-88aa-f417ec41f1fa-c0bc9f65d1fd.small.jpeg
